physician_name,physician_id,physician_dob,physician_grad_year,medical_school,salary
Heather Smith,400,1985-01-01,2017-11-01,David Geffen,200000
Jason Williams,401,2008-01-01,2010-06-01,Davinci Med,180000
Heather Smith,402,1966-05-01,1996-08-01,Mayo Clinic,210000
Jason Williams,403,1986-05-01,2002-07-01,David Geffen,200000
Kayla Hunter DDS,404,1963-08-01,1983-08-01,Mayo Clinic,150000
Jason Williams,405,2004-04-01,1980-03-01,Johns Hopkins,210000
Joseph Johnson,406,1998-08-01,2017-04-01,NYU,200000
Kayla Hunter DDS,407,1960-09-01,2006-05-01,Mayo Clinic,210000
Joseph Johnson,408,1971-02-01,1994-11-01,David Geffen,200000
Joseph Johnson,409,1990-11-01,1980-11-01,Johns Hopkins,150000
Joseph Johnson,410,1994-02-01,2001-09-01,NYU,210000
Kayla Hunter DDS,411,1955-04-01,1987-07-01,NYU,150000
Jesse Gordon,412,1975-12-01,1997-12-01,Mayo Clinic,200000
Jesse Gordon,413,2001-08-01,2019-07-01,Davinci Med,150000
Kayla Hunter DDS,414,1951-02-01,1993-06-01,Mayo Clinic,210000
Kayla Hunter DDS,415,2015-12-01,2009-07-01,David Geffen,180000
Kayla Hunter DDS,416,1985-04-01,1989-12-01,Mayo Clinic,210000
Kayla Hunter DDS,417,1996-01-01,2001-01-01,NYU,200000
Joseph Johnson,418,1990-07-01,1992-10-01,NYU,200000
Jason Williams,419,2014-01-01,1981-12-01,Davinci Med,220000
Joseph Johnson,420,1950-09-01,1994-07-01,Johns Hopkins,180000
Jason Williams,421,1995-07-01,1981-05-01,Mayo Clinic,150000
Jason Williams,422,1988-06-01,2012-12-01,Mayo Clinic,150000
Joseph Johnson,423,1978-02-01,1981-11-01,NYU,220000
Jason Williams,424,1977-12-01,1989-03-01,David Geffen,150000
Kayla Hunter DDS,425,1957-06-01,2007-08-01,Johns Hopkins,180000
Jason Williams,426,1989-04-01,1992-03-01,David Geffen,150000
Jesse Gordon,427,2010-01-01,2017-01-01,Davinci Med,200000
Kayla Hunter DDS,428,1965-03-01,1986-12-01,Mayo Clinic,200000
Joseph Johnson,429,2012-04-01,1986-08-01,NYU,210000
Jason Williams,430,1993-01-01,1997-02-01,Davinci Med,150000
Heather Smith,431,1992-05-01,1982-11-01,David Geffen,150000
Heather Smith,432,1977-11-01,2016-08-01,Mayo Clinic,210000
Jesse Gordon,433,1974-03-01,2004-02-01,Davinci Med,200000
Joseph Johnson,434,1977-04-01,2006-02-01,Mayo Clinic,150000
Jason Williams,435,2005-02-01,1987-01-01,Mayo Clinic,180000
Jason Williams,436,1992-11-01,2004-01-01,Johns Hopkins,150000
Heather Smith,437,1959-06-01,1986-12-01,Davinci Med,150000
Joseph Johnson,438,2010-05-01,2008-02-01,Mayo Clinic,180000
Heather Smith,439,1951-09-01,1981-06-01,Mayo Clinic,200000
Jesse Gordon,440,2005-04-01,2014-01-01,Johns Hopkins,200000
Heather Smith,441,2017-01-01,2004-09-01,Johns Hopkins,180000
Jesse Gordon,442,2002-07-01,2001-08-01,David Geffen,210000
Heather Smith,443,1969-11-01,2015-12-01,Davinci Med,180000
Heather Smith,444,1950-09-01,1998-09-01,Mayo Clinic,200000
Kayla Hunter DDS,445,1998-12-01,1989-06-01,David Geffen,200000
Heather Smith,446,1996-11-01,2014-07-01,Davinci Med,210000
Joseph Johnson,447,1975-09-01,1984-01-01,Davinci Med,180000
Jason Williams,448,1962-06-01,1997-07-01,NYU,210000
Heather Smith,449,1986-08-01,1999-05-01,Mayo Clinic,180000
Kayla Hunter DDS,450,1968-08-01,2002-10-01,Mayo Clinic,200000
Jesse Gordon,451,1953-11-01,2008-03-01,David Geffen,180000
Jason Williams,452,1991-01-01,2018-10-01,Mayo Clinic,200000
Joseph Johnson,453,2008-03-01,2011-04-01,David Geffen,220000
Jesse Gordon,454,1951-11-01,2004-04-01,Davinci Med,210000
Jason Williams,455,2003-06-01,2002-05-01,Johns Hopkins,150000
Jason Williams,456,1991-05-01,1987-10-01,David Geffen,220000
Heather Smith,457,1981-03-01,2004-06-01,Johns Hopkins,150000
Kayla Hunter DDS,458,2002-07-01,2009-06-01,NYU,150000
Jason Williams,459,1980-11-01,1995-05-01,NYU,150000
Jason Williams,460,1998-12-01,1997-02-01,NYU,150000
Jesse Gordon,461,1951-06-01,1989-02-01,NYU,180000
Jesse Gordon,462,1962-01-01,2006-12-01,Davinci Med,150000
Kayla Hunter DDS,463,1962-02-01,2014-01-01,NYU,180000
Joseph Johnson,464,1995-09-01,1992-08-01,Mayo Clinic,220000
Heather Smith,465,2005-06-01,2014-07-01,Mayo Clinic,210000
Heather Smith,466,2019-06-01,1999-01-01,Mayo Clinic,200000
Jesse Gordon,467,1969-04-01,2007-12-01,Mayo Clinic,200000
Jesse Gordon,468,2015-08-01,2009-12-01,David Geffen,200000
Joseph Johnson,469,1980-02-01,1990-05-01,Johns Hopkins,180000
Heather Smith,470,1970-09-01,2003-06-01,Mayo Clinic,150000
Joseph Johnson,471,1998-07-01,2017-08-01,David Geffen,210000
Jesse Gordon,472,1974-12-01,1996-04-01,Johns Hopkins,210000
Joseph Johnson,473,1952-10-01,1987-08-01,Mayo Clinic,210000
Jason Williams,474,2015-08-01,2011-03-01,Mayo Clinic,200000
Jesse Gordon,475,1988-11-01,1997-01-01,NYU,200000
Joseph Johnson,476,1974-12-01,1980-05-01,David Geffen,210000
Jason Williams,477,1999-11-01,1980-07-01,Johns Hopkins,220000
Joseph Johnson,478,2016-07-01,1994-04-01,Davinci Med,210000
Jason Williams,479,1995-04-01,1998-01-01,Johns Hopkins,210000
Joseph Johnson,480,2004-03-01,2009-02-01,David Geffen,210000
Joseph Johnson,481,2016-12-01,1986-08-01,Davinci Med,150000
Jesse Gordon,482,1956-06-01,2018-10-01,Davinci Med,180000
Kayla Hunter DDS,483,2014-04-01,1989-02-01,Mayo Clinic,200000
Jesse Gordon,484,1961-12-01,2000-08-01,David Geffen,180000
Heather Smith,485,1950-12-01,2008-01-01,NYU,180000
Kayla Hunter DDS,486,1973-01-01,2006-09-01,Mayo Clinic,200000
Jesse Gordon,487,1984-04-01,2003-06-01,David Geffen,200000
Jason Williams,488,2009-03-01,2003-02-01,NYU,210000
Joseph Johnson,489,1952-03-01,1989-07-01,Johns Hopkins,150000
Jesse Gordon,490,1991-07-01,1996-02-01,Mayo Clinic,200000
Heather Smith,491,2018-08-01,1993-01-01,Johns Hopkins,220000
Joseph Johnson,492,1967-05-01,2005-11-01,Davinci Med,180000
Kayla Hunter DDS,493,1998-08-01,1980-12-01,Johns Hopkins,150000
Heather Smith,494,1996-01-01,2000-04-01,Johns Hopkins,150000
Heather Smith,495,1978-09-01,1997-04-01,NYU,200000
Kayla Hunter DDS,496,1982-10-01,2013-09-01,Mayo Clinic,200000
Joseph Johnson,497,2009-02-01,1999-03-01,NYU,180000
Joseph Johnson,498,1987-08-01,1989-02-01,David Geffen,200000
Jason Williams,499,1991-10-01,2017-03-01,Mayo Clinic,210000
